id,price
188533,29850
188534,68135
188535,64589
188536,60055
188537,43675
188538,29117
188539,-8261
188540,62981
188541,60805
188542,46445
188543,41590
188544,-4401
188545,67675
188546,70981
188547,-3034
188548,70317
188549,35777
188550,1938
188551,63408
188552,56940
188553,65123
188554,36309
188555,41140
188556,38766
188557,24797
188558,60532
188559,23690
188560,16598
188561,65221
188562,28836
188563,64775
188564,68081
188565,41434
188566,44105
188567,26235
188568,64969
188569,31087
188570,13937
188571,40615
188572,64988
188573,38026
188574,51096
188575,51298
188576,48204
188577,14058
188578,39203
188579,55362
188580,52179
188581,64429
188582,37165
188583,68962
188584,39290
188585,47166
188586,45617
188587,51575
188588,39780
188589,-6868
188590,41008
188591,29831
188592,41797
188593,37591
188594,66696
188595,18516
188596,56452
188597,40968
188598,37668
188599,26517
188600,50187
188601,55118
188602,49105
188603,139730
188604,12917
188605,43585
188606,47851
188607,123834
188608,18876
188609,60900
188610,58508
188611,30867
188612,55285
188613,45263
188614,-2755
188615,56266
188616,71538
188617,55320
188618,34623
188619,65954
188620,28837
188621,39593
188622,86475
188623,70854
188624,44495
188625,32435
188626,11448
188627,70156
188628,68608
188629,37585
188630,46064
188631,72791
188632,58113
188633,59598
188634,6343
188635,64594
188636,56709
188637,14335
188638,37898
188639,35062
188640,9568
188641,41919
188642,30887
188643,74469
188644,71563
188645,56598
188646,-2873
188647,36116
188648,35591
188649,46647
188650,65644
188651,49272
188652,70211
188653,59683
188654,-31180
188655,23189
188656,50097
188657,45083
188658,18478
188659,73085
188660,24141
188661,56949
188662,-7696
188663,29015
188664,65806
188665,69697
188666,23350
188667,21853
188668,29545
188669,36916
188670,63035
188671,20244
188672,35561
188673,62978
188674,3728
188675,-1650
188676,47478
188677,12320
188678,41693
188679,53763
188680,70150
188681,9704
188682,14587
188683,-21902
188684,61068
188685,71141
188686,75979
188687,12513
188688,49861
188689,18986
188690,29165
188691,76197
188692,45345
188693,17943
188694,26773
188695,22572
188696,60821
188697,37024
188698,14337
188699,67841
188700,70419
188701,31498
188702,18596
188703,75676
188704,52841
188705,31245
188706,61575
188707,15752
188708,24743
188709,25072
188710,34771
188711,46597
188712,80232
188713,53217
188714,35561
188715,52545
188716,50603
188717,24007
188718,29931
188719,23730
188720,24382
188721,77977
188722,47769
188723,40220
188724,38561
188725,10227
188726,57420
188727,29920
188728,60051
188729,31246
188730,64477
188731,66901
188732,35825
188733,30526
188734,10045
188735,-11774
188736,4542
188737,71331
188738,64705
188739,47305
188740,64724
188741,48137
188742,19705
188743,42751
188744,76768
188745,51448
188746,50321
188747,47221
188748,12021
188749,48201
188750,-6086
188751,76413
188752,73036
188753,10784
188754,65190
188755,66059
188756,45725
188757,23055
188758,20659
188759,34978
188760,7169
188761,48863
188762,68878
188763,50243
188764,21456
188765,44929
188766,39134
188767,5171
188768,41152
188769,72285
188770,55916
188771,5181
188772,-10446
188773,58199
188774,58985
188775,59515
188776,28411
188777,39304
188778,27159
188779,72082
188780,60167
188781,73557
188782,19396
188783,31889
188784,65782
188785,32226
188786,47092
188787,7110
188788,8772
188789,57469
188790,-13715
188791,-7521
188792,71288
188793,42995
188794,8762
188795,70758
188796,13279
188797,61687
188798,22021
188799,19530
188800,60160
188801,49339
188802,38810
188803,78584
188804,14741
188805,19619
188806,84736
188807,57339
188808,65529
188809,63024
188810,18281
188811,80768
188812,28532
188813,14844
188814,49194
188815,24458
188816,49618
188817,35842
188818,40966
188819,45924
188820,33900
188821,51022
188822,35165
188823,51833
188824,6409
188825,44614
188826,7972
188827,36873
188828,42639
188829,7110
188830,56964
188831,67733
188832,9103
188833,41596
188834,40076
188835,32770
188836,69366
188837,74159
188838,18592
188839,-3672
188840,2183
188841,99251
188842,16336
188843,92396
188844,52212
188845,25210
188846,51635
188847,79078
188848,-2308
188849,42407
188850,62121
188851,77655
188852,69981
188853,31701
188854,29319
188855,73407
188856,73812
188857,72540
188858,64921
188859,67444
188860,-21056
188861,49883
188862,70240
188863,12028
188864,52617
188865,48691
188866,52943
188867,18409
188868,68011
188869,26752
188870,14313
188871,4802
188872,57359
188873,52004
188874,63305
